cod,tournament,tournament_id,season,season_id
BRA1-25,brasileirao-serie-a,325,2025,72034
BRA2-25,brasileirao-serie-b,390,2025,72603
ING1-25,premier-league,17,25/26,76986
ING2-25,championship,18,25/26,77347
ESP1-25,laliga,8,25/26,77559
ALE1-25,bundesliga,35,25/26,77333
ITA1-25,serie-a,23,25/26,76457
FRA1-25,ligue-1,34,25/26,77356
POR1-25,liga-portugal-betclic,238,25/26,77806
HOL1-25,eredivisie,37,25/26,77012
TUR1-25,trendyol-super-lig,52,25/26,77805
BEL1-25,pro-league,38,25/26,77040
NOR1-25,eliteserien,20,2025,70174
BRA1-24,brasileirao-serie-a,325,2024,58766
BRA2-24,brasileirao-serie-b,390,2024,59015
ING1-24,premier-league,17,24/25,61627
ING2-24,championship,18,24/25,61961
ESP1-24,laliga,8,24/25,61643
ALE1-24,bundesliga,35,25/26,63516
ITA1-24,serie-a,23,24/25,63515
FRA1-24,ligue-1,34,24/25,61736
POR1-24,liga-portugal-betclic,238,24/25,63670
HOL1-24,eredivisie,37,24/25,61666
TUR1-24,trendyol-super-lig,52,24/25,63814
BEL1-24,pro-league,38,24/25,61459
NOR1-24,eliteserien,20,2024,57322
BRA1-23,brasileirao-serie-a,325,2023,48982
ING1-23,premier-league,17,23/24,52186
ESP1-23,laliga,8,23/24,52376
ALE1-23,bundesliga,35,23/24,52608
ITA1-23,serie-a,23,23/24,52760
FRA1-23,ligue-1,34,23/24,52571
ING1-22,premier-league,17,22/23,41886

